Disease,Symptoms
نزلات البرد,قشعريرة الشعور بالتعب السعال حمى شديدة صداع سيلان الأنف احتقان الم في الصدر فقدان حاسة الشم صدئ البلغم 
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر ارتفاع معدل ضربات القلب
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم التجشؤ
الفشل الكلوي,تورم القدمين احتباس السوائل انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر انخفاض اخراج البول
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين الم في البطن 
نزلات البرد, احمرار العين احتقان الم في الصدر فقدان حاسة الشم صداع حمى شديدة صداع صدئ البلغم الشعور بالتعب
قرحة المعدة,فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان الانتفاخ التجشؤ
الفشل الكلوي,تورم القدمين احتباس السوائل انخفاض اخراج البول ضيق التنفس القئ ارتفاع معدل ضربات القلب
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ
الفشل الكلوي,تورم القدمين احتباس السوائل انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر ارتفاع معدل ضربات القلب
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين الم في البطن اصفرار الجلد 
نزلات البرد,صداع قشعريرة الم عضلي صدئ البلغم احتقان فقدان حاسة الشم الم في الصدر الشعور بالتعب
الالتهاب الرئوي,الشعور بالتعب السعال الم في الصدر ضيق التنفس ارتفاع معدل ضربات القلب التعرق قشعريره
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان التجشؤ
فيرس سي, الم في العضلات الم في البطن اصفرار الجلد الشعور بالغثيان القيء 
فيرس سي, الم في العضلات الم في المفاصل الم في البطن اصفرار الجلد الشعور بالغثيان القيء 
نزلات البرد,الشعور بالتعب تضخم الغدد الليمفاوية احتقان الم عضلي احتقان الم في الصدر فقدان حاسة الشم صداع صدئ البلغم 
الفشل الكلوي, ضيق التنفس انخفاض اخراج البول القئ ارتفاع معدل ضربات القلب الغثيان الخمول
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية الشعور بالغثيان القيء 
فيرس سي, الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين الم في البطن اصفرار الجلد
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي الانتفاخ التجشؤ
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي الغثيان القئ الانتفاخ
نزلات البرد,سيلان الأنف تضخم الغدد الليمفاوية الم في الصدر احتقان صداع الشعور بالتعب السعال صدئ البلغم فقدان حاسة الشم 
نزلات البرد,تهيج الحلق احمرار العين صداع الشعور بالتعب احتقان صدئ البلغم الم في الصدر فقدان حاسة الشم 
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الشعور بالتعب
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات 
الفشل الكلوي,تورم القدمين احتباس السوائل ضيق التنفس
فيرس سي,صداع مزمن الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات 
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الم في المفاصل فقدان الشهية اصفرار العينين
الالتهاب الرئوي,ارتفاع درجة الحرارة صدئ البلغم ارتفاع معدل ضربات القلب ضيق التنفس الخمول السعال الم في الصدر
نزلات البرد, الم عضلي سيلان الأنف صداع الشعور بالتعب الم في الصدر صدئ البلغم صداع فقدان حاسة الشم احتقان 
الالتهاب الرئوي,الشعور بالتعب السعال ارتفاع درجة الحرارة ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر الخمول
نزلات البرد,صدئ البلغم فقدان حاسة الشم السعال صداع الشعور بالتعب احمرار العين الم في الصدر احتقان ضغط الجيوب الأنفية 
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الم في المفاصل فقدان الشهية 
نزلات البرد,فقدان حاسة الشم حمى شديدة الشعور بالتعب احتقان الم في الصدر فقدان حاسة الشم صدئ البلغم صداع
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الم في المفاصل 
الالتهاب الرئوي,ضيق التنفس الشعور بالتعب السعال صدئ البلغم ارتفاع معدل ضربات القلب الخمول الم في الصدر
الفشل الكلوي,تورم القدمين احتباس السوائل انخفاض اخراج البول
فيرس سي, فقدان الشهية اصفرار العينين الم في البطن اصفرار الجلد الشعور بالغثيان
الالتهاب الرئوي,الخمول السعال الم في الصدر ضيق التنفس ارتفاع معدل ضربات القلب قشعريره التعرق
